country,beer_servings,spirit_servings,wine_servings,total_for_beer_servings,total_for_spirit_servings,total_for_wine_servings,total_all,,,,,
France,60,151,370,0.9581976,2.6794044,6.565428,10.20303,,,,,
Slovakia,152,293,116,2.42743392,5.1991092,2.0583504,9.68489352,,,,,
St. Lucia,161,315,71,2.57116356,5.589486,1.2598524,9.42050196,,,ABV Values per serving,,
Switzerland,167,100,280,2.66698332,1.77444,4.968432,9.40985532,,,Beer,0.045,
Portugal,138,67,339,2.20385448,1.1888748,6.0153516,9.40808088,,,Wine,0.12,
Grenada,67,438,28,1.06998732,7.7720472,0.4968432,9.33887772,,,Spirit,0.4,
Russian Federation,141,326,73,2.25176436,5.7846744,1.2953412,9.33177996,,,,,
Luxembourg,98,133,271,1.56505608,2.3600052,4.8087324,8.73379368,,,,,
United Kingdom,183,126,195,2.92250268,2.2357944,3.460158,8.61845508,,,,Conversion Factor,
Hungary,74,215,185,1.18177704,3.815046,3.282714,8.27953704,,,,1oz = 0.029574  Liters,
Slovenia,153,51,276,2.44340388,0.9049644,4.8974544,8.24582268,,,,,
Andorra,3,138,312,0.04790988,2.4487272,5.5362528,8.03288988,,,,,
Ukraine,181,237,45,2.89056276,4.2054228,0.798498,7.89448356,,,Serving Size(in Oz),, In Liters
Belarus,15,373,42,0.2395494,6.6186612,0.7452648,7.6034754,,,Beer,12,0.354888
Uruguay,184,35,220,2.93847264,0.621054,3.903768,7.46329464,,,Wine,5,0.14787
Romania,140,122,167,2.2357944,2.1648168,2.9633148,7.363926,,,Spirit,1.5,0.044361
Thailand,171,258,1,2.73086316,4.5780552,0.0177444,7.32666276,,,,,
Spain,158,157,112,2.52325368,2.7858708,1.9873728,7.29649728,,,,,
Usa,185,158,84,2.9544426,2.8036152,1.4905296,7.2485874,,,,,
Denmark,46,79.262,278,0.73461816,1.406456633,4.9329432,7.074017993,,,,,
Sweden,166,60,186,2.65101336,1.064664,3.3004584,7.01613576,,,,,
Poland,137,215,56,2.18788452,3.815046,0.9936864,6.99661692,,,,,
Haiti,72,326,1,1.14983712,5.7846744,0.0177444,6.95225592,,,average consumption for all countries,3.84987936,
Serbia,148,131,127,2.36355408,2.3245164,2.2535388,6.94160928,,,,,
Greece,66,112,218,1.05401736,1.9873728,3.8682792,6.90966936,,,,,
Lithuania,97,244,56,1.54908612,4.3296336,0.9936864,6.87240612,,,1. France,,
Netherlands,121,88,190,1.93236516,1.5615072,3.371436,6.86530836,,,,,
St. Kitts & Nevis,160,205,32,2.5551936,3.637602,0.5678208,6.7606164,,,,,
Croatia,42,87,254,0.67073832,1.5437628,4.5070776,6.72157872,,,2. 3.84987936,3.84987936,
St. Vincent & The Grenadines,162,221,11,2.58713352,3.9215124,0.1951884,6.70383432,,,3. 1 Country: Afghanistan,,
Bulgaria,25,252,94,0.399249,4.4715888,1.6679736,6.5388114,,,,,
Guyana,71,302,1,1.13386716,5.3588088,0.0177444,6.51042036,,,,,
New Zealand,122,79,175,1.94833512,1.4018076,3.10527,6.45541272,,,,,
Cook Islands,39,254,74,0.62282844,4.5070776,1.3130856,6.44299164,,,,,
Latvia,92,216,62,1.46923632,3.8327904,1.1001528,6.40217952,,,,,
Dominica,48,286,26,0.76655808,5.0748984,0.4613544,6.30281088,,,,,
Ireland,80,118,165,1.2775968,2.0938392,2.927826,6.299262,,,,,
Italy,82,42,237,1.30953672,0.7452648,4.2054228,6.26022432,,,,,
Germany,64,117,175,1.02207744,2.0760948,3.10527,6.20344224,,,,,
Montenegro,114,114,128,1.82057544,2.0228616,2.2712832,6.11472024,,,,,
Czech Republic,45,170,134,0.7186482,3.016548,2.3777496,6.1129458,,,,,
Moldova,111,226,18,1.77266556,4.0102344,0.3193992,6.10229916,,,,,
Kazakhstan,86,246,12,1.37341656,4.3651224,0.2129328,5.95147176,,,,,
Suriname,164,178,7,2.61907344,3.1585032,0.1242108,5.90178744,,,,,
Chile,34,124,172,0.54297864,2.2003056,3.0520368,5.79532104,,,,,
Trinidad & Tobago,175,156,7,2.794743,2.7681264,0.1242108,5.6870802,,,,,
Niue,126,200,7,2.01221496,3.54888,0.1242108,5.68530576,,,,,
Norway,128,71,129,2.04415488,1.2598524,2.2890276,5.59303488,,,,,
Malta,105,100,120,1.6768458,1.77444,2.129328,5.5806138,,,,,
Paraguay,134,117,74,2.13997464,2.0760948,1.3130856,5.52915504,,,,,
Belgium,16,84,212,0.25551936,1.4905296,3.7618128,5.50786176,,,,,
Philippines,136,186,1,2.17191456,3.3004584,0.0177444,5.49011736,,,,,
Sao Tome & Principe,145,38,140,2.3156442,0.6742872,2.484216,5.4741474,,,,,
Cyprus,44,154,113,0.70267824,2.7326376,2.0051172,5.44043304,,,,,
Georgia,63,100,149,1.00610748,1.77444,2.6439156,5.42446308,,,,,
United Arab Emirates,182,135,5,2.90653272,2.395494,0.088722,5.39074872,,,,,
Estonia,56,194,59,0.89431776,3.4424136,1.0469196,5.38365096,,,,,
Peru,135,160,21,2.1559446,2.839104,0.3726324,5.367681,,,,,
Mongolia,113,189,8,1.80460548,3.3536916,0.1419552,5.30025228,,,,,
South Africa,156,76,81,2.49131376,1.3485744,1.4372964,5.27718456,,,,,
Japan,84,202,16,1.34147664,3.5843688,0.2839104,5.20975584,,,,,
Australia,8,72,212,0.12775968,1.2775968,3.7618128,5.16716928,,,,,
Finland,59,133,97,0.94222764,2.3600052,1.7212068,5.02343964,,,,,
Equatorial Guinea,54,0,233,0.86237784,0,4.1344452,4.99682304,,,,,
Uzbekistan,186,101,8,2.97041256,1.7921844,0.1419552,4.90455216,,,,,
Austria,9,75,191,0.14372964,1.33083,3.3891804,4.86374004,,,,,
Venezuela,188,100,3,3.00235248,1.77444,0.0532332,4.83002568,,,,,
Turkmenistan,178,71,32,2.84265288,1.2598524,0.5678208,4.67032608,,,,,
Bahamas,11,176,75.409,0.17566956,3.1230144,1.33808746,4.63677142,,,,,
Argentina,6,25,221,0.09581976,0.44361,3.9215124,4.46094216,,,,,
Canada,31,122,100,0.49506876,2.1648168,1.77444,4.43432556,,,,,
Sri Lanka,159,104,0,2.53922364,1.8454176,0,4.38464124,,,,,
Panama,132,104,18,2.10803472,1.8454176,0.3193992,4.27285152,,,,,
Liberia,95,152,2,1.5171462,2.6971488,0.0354888,4.2497838,,,,,
China,35,192,8,0.5589486,3.4069248,0.1419552,4.1078286,,,,,
Nicaragua,123,118,1,1.96430508,2.0938392,0.0177444,4.07588868,,,,,
Barbados,14,173,36,0.22357944,3.0697812,0.6387984,3.93215904,,,,,
Gabon,61,98,59,0.97416756,1.7389512,1.0469196,3.76003836,,,,,
Tuvalu,179,41,9,2.85862284,0.7275204,0.1596996,3.74584284,,,,,
Seychelles,149,25,51,2.37952404,0.44361,0.9049644,3.72809844,,,,,
Iceland,75,61,78,1.197747,1.0824084,1.3840632,3.6642186,,,,,
Laos,91,0,123,1.45326636,0,2.1825612,3.63582756,,,,,
Palau,131,63,23,2.09206476,1.1178972,0.4081212,3.61808316,,,,,
Syria,168,35,16,2.68295328,0.621054,0.2839104,3.58791768,,,,,
Macedonia,99,27,86,1.58102604,0.4790988,1.5260184,3.58614324,,,,,
Dominican Republic,49,147,9,0.78252804,2.6084268,0.1596996,3.55065444,,,,,
Bosnia-Herzegovina,21,173,8,0.33536916,3.0697812,0.1419552,3.54710556,,,,,
Vanuatu,187,18,11,2.98638252,0.3193992,0.1951884,3.50097012,,,,,
Armenia,7,179,11,0.11178972,3.1762476,0.1951884,3.48322572,,,,,
Zambia,191,19,4,3.05026236,0.3371436,0.0709776,3.45838356,,,,,
Zimbabwe,192,18,4,3.06623232,0.3193992,0.0709776,3.45660912,,,,,
Turkey,177,22,7,2.82668292,0.3903768,0.1242108,3.34127052,,,,,
Albania,1,132,54,0.01596996,2.3422608,0.9581976,3.31642836,,,,,
Kyrgyzstan,90,97,6,1.4372964,1.7212068,0.1064664,3.2649696,,,,,
Tonga,174,21,5,2.77877304,0.3726324,0.088722,3.24012744,,,,,
India,76,114,0,1.21371696,2.0228616,0,3.23657856,,,,,
Brazil,23,145,16,0.36730908,2.572938,0.2839104,3.22415748,,,,,
Tunisia,176,3,20,2.81071296,0.0532332,0.354888,3.21883416,,,,,
Cuba,43,137,5,0.68670828,2.4309828,0.088722,3.20641308,,,,,
Jamaica,83,97,9,1.32550668,1.7212068,0.1596996,3.20641308,,,,,
Antigua & Barbuda,5,128,45,0.0798498,2.2712832,0.798498,3.149631,,,,,
Togo,173,2,19,2.76280308,0.0354888,0.3371436,3.13543548,,,,,
Qatar,139,42,7,2.21982444,0.7452648,0.1242108,3.08930004,,,,,
Vietnam,189,2,1,3.01832244,0.0354888,0.0177444,3.07155564,,,,,
Mexico,109,68,5,1.74072564,1.2066192,0.088722,3.03606684,,,,,
Uganda,180,9,0,2.8745928,0.1596996,0,3.0342924,,,,,
Yemen,190,0,0,3.0342924,0,0,3.0342924,,,,,
Samoa,143,18,24,2.28370428,0.3193992,0.4258656,3.02896908,,,,,
Lebanon,93,55,31,1.48520628,0.975942,0.5500764,3.01122468,,,,,
Tajikistan,169,15,0,2.69892324,0.266166,0,2.96508924,,,,,
Micronesia,110,50,18,1.7566956,0.88722,0.3193992,2.9633148,,,,,
South Korea,157,16,9,2.50728372,0.2839104,0.1596996,2.95089372,,,,,
Honduras,73,98,2,1.16580708,1.7389512,0.0354888,2.94024708,,,,,
Tanzania,170,6,1,2.7148932,0.1064664,0.0177444,2.839104,,,,,
Timor-Leste,172,1,4,2.74683312,0.0177444,0.0709776,2.83555512,,,,,
Papua New Guinea,133,39,1,2.12400468,0.6920316,0.0177444,2.83378068,,,,,
Sudan,163,13,0,2.60310348,0.2306772,0,2.83378068,,,,,
Singapore,151,12,11,2.41146396,0.2129328,0.1951884,2.81958516,,,,,
Swaziland,165,2,2,2.6350434,0.0354888,0.0354888,2.706021,,,,,
Israel,81,69,9,1.29356676,1.2243636,0.1596996,2.67762996,,,,,
Solomon Islands,154,11,1,2.45937384,0.1951884,0.0177444,2.67230664,,,,,
Mauritius,108,31,18,1.72475568,0.5500764,0.3193992,2.59423128,,,,,
Senegal,147,1,7,2.34758412,0.0177444,0.1242108,2.48953932,,,,,
Sierra Leone,150,3,2,2.395494,0.0532332,0.0354888,2.484216,,,,,
Somalia,155,0,0,2.4753438,0,0,2.4753438,,,,,
Belize,17,114,8,0.27148932,2.0228616,0.1419552,2.43630612,,,,,
Saudi Arabia,146,5,0,2.33161416,0.088722,0,2.42033616,,,,,
Costa Rica,40,87,11,0.6387984,1.5437628,0.1951884,2.3777496,,,,,
Oman,129,16,1,2.06012484,0.2839104,0.0177444,2.36177964,,,,,
Guatemala,68,69,2,1.08595728,1.2243636,0.0354888,2.34580968,,,,,
Rwanda,142,2,0,2.26773432,0.0354888,0,2.30322312,,,,,
San Marino,144,0,0,2.29967424,0,0,2.29967424,,,,,
Mozambique,116,18,5,1.85251536,0.3193992,0.088722,2.26063656,,,,,
Ecuador,51,74,3,0.81446796,1.3130856,0.0532332,2.18078676,,,,,
Morocco,115,6,10,1.8365454,0.1064664,0.177444,2.1204558,,,,,
Nigeria,125,5,2,1.996245,0.088722,0.0354888,2.1204558,,,,,
El Salvador,53,69,2,0.84640788,1.2243636,0.0354888,2.10626028,,,,,
Pakistan,130,0,0,2.0760948,0,0,2.0760948,,,,,
Nauru,119,0,8,1.90042524,0,0.1419552,2.04238044,,,,,
Guinea-Bissau,70,31,21,1.1178972,0.5500764,0.3726324,2.040606,,,,,
Niger,124,2,1,1.98027504,0.0354888,0.0177444,2.03350824,,,,,
North Korea,127,0,0,2.02818492,0,0,2.02818492,,,,,
Kiribati,88,34,1,1.40535648,0.6033096,0.0177444,2.02641048,,,,,
Nepal,120,6,0,1.9163952,0.1064664,0,2.0228616,,,,,
Lesotho,94,29,0,1.50117624,0.5145876,0,2.01576384,,,,,
Colombia,36,76,3,0.57491856,1.3485744,0.0532332,1.97672616,,,,,
Namibia,118,3,1,1.88445528,0.0532332,0.0177444,1.95543288,,,,,
Madagascar,100,15,4,1.596996,0.266166,0.0709776,1.9341396,,,,,
Myanmar,117,1,0,1.86848532,0.0177444,0,1.88622972,,,,,
Angola,4,57,45,0.06387984,1.0114308,0.798498,1.87380864,,,,,
Malawi,101,11,1,1.61296596,0.1951884,0.0177444,1.82589876,,,,,
Kenya,87,22,2,1.38938652,0.3903768,0.0354888,1.81525212,,,,,
Monaco,112,0,0,1.78863552,0,0,1.78863552,,,,,
Jordan,85,21,1,1.3574466,0.3726324,0.0177444,1.7478234,,,,,
Cabo Verde,28,56,16,0.44715888,0.9936864,0.2839104,1.72475568,,,,,
Mauritania,107,0,0,1.70878572,0,0,1.70878572,,,,,
Malaysia,102,4,0,1.62893592,0.0709776,0,1.69991352,,,,,
Mali,104,1,1,1.66087584,0.0177444,0.0177444,1.69636464,,,,,
Marshall Islands,106,0,0,1.69281576,0,0,1.69281576,,,,,
Maldives,103,0,0,1.64490588,0,0,1.64490588,,,,,
Cambodia,29,65,1,0.46312884,1.153386,0.0177444,1.63425924,,,,,
Botswana,22,35,35,0.35133912,0.621054,0.621054,1.59344712,,,,,
Djibouti,47,44,3,0.75058812,0.7807536,0.0532332,1.58457492,,,,,
Fiji,58,35,1,0.92625768,0.621054,0.0177444,1.56505608,,,,,
Libya,96,0,0,1.53311616,0,0,1.53311616,,,,,
Bahrain,12,63,7,0.19163952,1.1178972,0.1242108,1.43374752,,,,,
Kuwait,89,0,0,1.42132644,0,0,1.42132644,,,,,
Iraq,79,3,0,1.26162684,0.0532332,0,1.31486004,,,,,
Ghana,65,3,10,1.0380474,0.0532332,0.177444,1.2687246,,,,,
Indonesia,77,1,0,1.22968692,0.0177444,0,1.24743132,,,,,
Iran,78,0,0,1.24565688,0,0,1.24565688,,,,,
Bolivia,20,41,8,0.3193992,0.7275204,0.1419552,1.1888748,,,,,
Guinea,69,0,2,1.10192724,0,0.0354888,1.13741604,,,,,
Azerbaijan,10,46,5,0.1596996,0.8162424,0.088722,1.064664,,,,,
Gambia,62,0,1,0.99013752,0,0.0177444,1.00788192,,,,,
Ethiopia,57,3,0,0.91028772,0.0532332,0,0.96352092,,,,,
Egypt,52,4,1,0.83043792,0.0709776,0.0177444,0.91915992,,,,,
Eritrea,55,0,0,0.8783478,0,0,0.8783478,,,,,
Dr Congo,50,3,1,0.798498,0.0532332,0.0177444,0.8694756,,,,,
Cote D'Ivoire,41,1,7,0.65476836,0.0177444,0.1242108,0.79672356,,,,,
Congo,38,1,9,0.60685848,0.0177444,0.1596996,0.78430248,,,,,
Burkina Faso,26,7,7,0.41521896,0.1242108,0.1242108,0.66364056,,,,,
Comoros,37,3,1,0.59088852,0.0532332,0.0177444,0.66186612,,,,,
Benin,18,4,13,0.28745928,0.0709776,0.2306772,0.58911408,,,,,
Cameroon,30,1,4,0.4790988,0.0177444,0.0709776,0.5678208,,,,,
Central African Republic,32,2,1,0.51103872,0.0354888,0.0177444,0.56427192,,,,,
Chad,33,1,1,0.52700868,0.0177444,0.0177444,0.56249748,,,,,
Brunei,24,2,1,0.38327904,0.0354888,0.0177444,0.43651224,,,,,
Burundi,27,0,0,0.43118892,0,0,0.43118892,,,,,
Bhutan,19,0,0,0.30342924,0,0,0.30342924,,,,,
Algeria,2,0,14,0.03193992,0,0.2484216,0.28036152,,,,,
Bangladesh,13,0,0,0.20760948,0,0,0.20760948,,,,,
Afghanistan,0,0,0,0,0,0,0,,,,,